Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,601331,-,-,-,20.29,-100.54,-6,2077,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2017,1,1,0,0,0,0,0,0,0,0,1,9,169.04,0,0.157,1,1.984,236.9,99.02,10,790,0.0000,0.0000,N/A
2017,1,1,0,30,0,0,0,0,0,0,1,9,175.46,0,0.157,1,1.984,236.9,99.01,10,790,0.0000,0.0000,N/A
2017,1,1,1,0,0,0,0,0,0,0,1,9,175.73,0,0.157,1,1.985,249.3,98.41,10,790,0.0000,0.0000,N/A
2017,1,1,1,30,0,0,0,0,0,0,1,9,169.37,0,0.157,0.9,1.975,249.3,100,10,790,0.0000,0.0000,N/A
2017,1,1,2,0,0,0,0,0,0,0,1,9,162.55,0,0.157,0.9,1.966,258.90000000000003,100,10,790,0.0000,0.0000,N/A
2017,1,1,2,30,0,0,0,0,0,0,0,9,155.66,0,0.157,0.9,1.949,258.90000000000003,100,9,790,0.0000,0.0000,N/A
2017,1,1,3,0,0,0,0,0,0,0,1,9,148.75,0,0.157,0.9,1.933,262.7,100,9,790,0.0000,0.0000,N/A
2017,1,1,3,30,0,0,0,0,0,0,1,9,141.86,0,0.157,0.9,1.917,262.7,100,9,790,0.0000,0.0000,N/A
2017,1,1,4,0,0,0,0,0,0,0,1,9,134.98,0,0.157,0.9,1.901,262.40000000000003,100,9,790,0.0000,0.0000,N/A
2017,1,1,4,30,0,0,0,0,0,0,1,9,128.14000000000001,0,0.157,0.9,1.8900000000000001,262.40000000000003,100,9,790,0.0000,0.0000,N/A
2017,1,1,5,0,0,0,0,0,0,0,1,9,121.33,0,0.157,0.9,1.879,261.8,100,9,790,0.0000,0.0000,N/A
2017,1,1,5,30,0,0,0,0,0,0,0,9,114.57000000000001,0,0.157,0.8,1.867,261.8,100,9,790,0.0000,0.0000,N/A
2017,1,1,6,0,0,0,0,0,0,0,1,8,107.86,0,0.157,0.8,1.856,261.2,99.06,9,790,0.0000,0.0000,N/A
2017,1,1,6,30,0,0,0,0,0,0,1,8,101.24000000000001,0,0.157,0.7000000000000001,1.84,261.2,99.09,9,790,0.0000,0.0000,N/A
2017,1,1,7,0,0,0,0,0,0,0,1,8,94.7,0,0.157,0.7000000000000001,1.825,249.9,98.75,9,790,0.0000,0.0000,N/A
2017,1,1,7,30,11,23,12,11,23,12,1,8,88.27,0,0.157,0.9,1.811,249.9,92.4,10,790,0.0000,0.0000,N/A
2017,1,1,8,0,61,213,91,61,213,91,1,9,81.99,0,0.157,1.2000000000000002,1.797,243.3,88,12,790,0.0000,0.0000,N/A
2017,1,1,8,30,100,377,192,100,377,192,0,9,75.88,0,0.157,1.3,1.7730000000000001,243.3,77.18,13,790,9.3194,7.1505,N/A
2017,1,1,9,0,115,548,303,115,548,303,1,8,70.01,0,0.157,1.5,1.75,258.3,65.86,15,790,15.5103,12.0109,N/A
2017,1,1,9,30,133,633,407,133,633,407,0,8,64.42,0,0.157,1.5,1.721,258.3,61.78,16,790,21.8010,16.9772,N/A
2017,1,1,10,0,130,739,509,130,739,509,1,7,59.2,0,0.157,1.6,1.692,260.40000000000003,55.08,17,790,28.1913,22.0279,N/A
2017,1,1,10,30,139,781,594,139,781,594,1,7,54.47,0,0.157,1.7000000000000002,1.681,260.40000000000003,51.71,18,790,33.6958,26.3849,N/A
2017,1,1,11,0,141,823,666,141,823,666,1,7,50.36,0,0.157,1.8,1.671,257.7,46.29,19,790,38.4238,30.1283,N/A
2017,1,1,11,30,348,104,419,146,843,720,3,7,47.02,0,0.157,1.9000000000000001,1.674,257.7,43.49,20,790,24.4547,19.1920,N/A
2017,1,1,12,0,159,8,165,100,951,777,3,6,44.65,0,0.157,2.1,1.678,260.3,39.62,21,790,9.6998,7.6164,N/A
2017,1,1,12,30,101,956,796,101,956,796,1,6,43.4,0,0.157,2.2,1.682,260.3,39.6,21,790,46.9587,36.8817,N/A
2017,1,1,13,0,317,491,674,104,950,796,3,6,43.35,0,0.157,2.4000000000000004,1.688,262.1,38.7,21,790,39.7669,31.2335,N/A
2017,1,1,13,30,373,251,552,103,945,778,3,6,44.53,0,0.157,2.5,1.689,262.1,38.69,21,790,32.4616,25.4898,N/A
2017,1,1,14,0,248,19,261,101,936,742,3,6,46.83,0,0.157,2.6,1.691,263.90000000000003,35.480000000000004,22,790,15.2424,11.9627,N/A
2017,1,1,14,30,269,32,289,98,920,688,3,6,50.1,0,0.157,2.6,1.684,263.90000000000003,37.7,21,790,16.6895,13.0873,N/A
2017,1,1,15,0,162,6,166,86,915,622,3,5,54.17,0,0.157,2.6,1.677,264,36.38,21,790,9.4293,7.3843,N/A
2017,1,1,15,30,147,3,149,82,883,538,3,5,58.870000000000005,0,0.157,2.4000000000000004,1.6620000000000001,264,36.38,21,790,8.2677,6.4613,N/A
2017,1,1,16,0,76,0,76,75,840,442,3,5,64.05,0,0.157,2.3000000000000003,1.6480000000000001,262.40000000000003,35.15,21,790,4.0817,3.1795,N/A
2017,1,1,16,30,58,0,58,67,774,336,3,5,69.62,4,0.157,1.7000000000000002,1.6340000000000001,262.40000000000003,39.77,19,790,2.9793,2.3082,N/A
2017,1,1,17,0,38,0,38,57,670,225,3,7,75.48,4,0.157,1.2000000000000002,1.621,264.1,49.67,18,790,1.8506,1.4209,N/A
2017,1,1,17,30,41,502,114,41,502,114,3,7,81.57000000000001,4,0.157,1,1.608,264.1,56.370000000000005,16,790,0.0000,0.0000,N/A
2017,1,1,18,0,16,194,23,16,194,23,1,7,87.84,0,0.157,0.9,1.596,275,59.01,15,790,0.0000,0.0000,N/A
2017,1,1,18,30,0,0,0,0,0,0,1,7,94.26,0,0.157,0.9,1.575,275,59.03,15,790,0.0000,0.0000,N/A
2017,1,1,19,0,0,0,0,0,0,0,1,6,100.8,0,0.157,0.9,1.555,270.1,56.26,15,790,0.0000,0.0000,N/A
2017,1,1,19,30,0,0,0,0,0,0,1,6,107.42,0,0.157,0.9,1.5270000000000001,270.1,60.01,14,790,0.0000,0.0000,N/A
2017,1,1,20,0,0,0,0,0,0,0,1,6,114.12,0,0.157,0.9,1.5,247.4,58.58,14,790,0.0000,0.0000,N/A
2017,1,1,20,30,0,0,0,0,0,0,1,6,120.88,0,0.157,0.9,1.472,247.4,62.52,13,790,0.0000,0.0000,N/A
2017,1,1,21,0,0,0,0,0,0,0,1,5,127.69,0,0.157,1,1.445,234.10000000000002,65.69,12,790,0.0000,0.0000,N/A
2017,1,1,21,30,0,0,0,0,0,0,1,5,134.53,0,0.157,1,1.417,234.10000000000002,70.17,11,790,0.0000,0.0000,N/A
2017,1,1,22,0,0,0,0,0,0,0,1,5,141.41,0,0.157,1.1,1.3900000000000001,233.60000000000002,69.62,11,790,0.0000,0.0000,N/A
2017,1,1,22,30,0,0,0,0,0,0,1,5,148.31,0,0.157,1.1,1.36,233.60000000000002,74.4,10,790,0.0000,0.0000,N/A
2017,1,1,23,0,0,0,0,0,0,0,1,5,155.21,0,0.157,1.1,1.331,233.20000000000002,73.66,10,790,0.0000,0.0000,N/A
2017,1,1,23,30,0,0,0,0,0,0,0,5,162.11,0,0.157,1.1,1.304,233.20000000000002,73.66,10,790,0.0000,0.0000,N/A
2017,1,2,0,0,0,0,0,0,0,0,1,5,168.95000000000002,0,0.157,1.1,1.278,236.8,73.03,10,790,0.0000,0.0000,N/A
2017,1,2,0,30,0,0,0,0,0,0,1,5,175.42000000000002,0,0.157,1.1,1.2550000000000001,236.8,78.08,9,790,0.0000,0.0000,N/A
2017,1,2,1,0,0,0,0,0,0,0,1,5,175.87,0,0.157,1.1,1.233,239.3,77.27,9,790,0.0000,0.0000,N/A
2017,1,2,1,30,0,0,0,0,0,0,1,5,169.49,0,0.157,1,1.2,239.3,77.24,9,790,0.0000,0.0000,N/A
2017,1,2,2,0,0,0,0,0,0,0,1,5,162.66,0,0.157,1,1.168,228,76.37,9,790,0.0000,0.0000,N/A
2017,1,2,2,30,0,0,0,0,0,0,0,5,155.77,0,0.157,0.9,1.1380000000000001,228,81.69,8,790,0.0000,0.0000,N/A
2017,1,2,3,0,0,0,0,0,0,0,1,4,148.86,0,0.157,0.9,1.108,220.70000000000002,81.01,8,790,0.0000,0.0000,N/A
2017,1,2,3,30,0,0,0,0,0,0,1,4,141.96,0,0.157,0.8,1.087,220.70000000000002,81.01,8,790,0.0000,0.0000,N/A
2017,1,2,4,0,0,0,0,0,0,0,1,4,135.08,0,0.157,0.8,1.066,226.5,80.62,8,790,0.0000,0.0000,N/A
2017,1,2,4,30,0,0,0,0,0,0,1,4,128.23,0,0.157,0.8,1.047,226.5,80.63,8,790,0.0000,0.0000,N/A
2017,1,2,5,0,0,0,0,0,0,0,1,4,121.42,0,0.157,0.8,1.028,234.60000000000002,80.19,8,790,0.0000,0.0000,N/A
2017,1,2,5,30,0,0,0,0,0,0,0,4,114.65,0,0.157,0.8,1.006,234.60000000000002,85.87,7,790,0.0000,0.0000,N/A
2017,1,2,6,0,0,0,0,0,0,0,1,4,107.94,0,0.157,0.8,0.984,241,85.37,7,790,0.0000,0.0000,N/A
2017,1,2,6,30,0,0,0,0,0,0,1,4,101.31,0,0.157,0.7000000000000001,0.96,241,85.4,7,790,0.0000,0.0000,N/A
2017,1,2,7,0,0,0,0,0,0,0,1,4,94.77,0,0.157,0.7000000000000001,0.936,241.3,85.87,7,790,0.0000,0.0000,N/A
2017,1,2,7,30,20,0,20,13,249,20,3,4,88.33,4,0.157,0.8,0.912,241.3,75,9,790,0.0000,0.0000,N/A
2017,1,2,8,0,33,591,115,33,591,115,1,5,82.05,0,0.157,0.9,0.889,237.10000000000002,67.54,11,790,0.0000,0.0000,N/A
2017,1,2,8,30,46,757,230,46,757,230,0,5,75.93,0,0.157,1.2000000000000002,0.874,237.10000000000002,59.24,13,790,11.1594,8.5615,N/A
2017,1,2,9,0,54,855,346,54,855,346,1,4,70.04,0,0.157,1.6,0.86,263.2,50.38,15,790,17.7067,13.7113,N/A
2017,1,2,9,30,60,916,455,60,916,455,1,4,64.45,0,0.157,1.7000000000000002,0.859,263.2,47.26,16,790,24.3668,18.9749,N/A
2017,1,2,10,0,65,957,555,65,957,555,0,4,59.22,0,0.157,1.9000000000000001,0.859,269.40000000000003,39.86,18,790,30.7355,24.0157,N/A
2017,1,2,10,30,69,986,642,69,986,642,0,4,54.47,0,0.157,1.9000000000000001,0.865,269.40000000000003,37.44,19,790,36.4187,28.5170,N/A
2017,1,2,11,0,72,1005,714,72,1005,714,0,3,50.34,0,0.157,1.9000000000000001,0.872,279.5,33.25,20,790,41.1962,32.3023,N/A
2017,1,2,11,30,74,1019,770,74,1019,770,0,3,46.99,0,0.157,1.9000000000000001,0.88,279.5,31.25,21,790,44.9450,35.2729,N/A
2017,1,2,12,0,75,1028,808,75,1028,808,0,2,44.59,0,0.157,1.9000000000000001,0.888,287.6,27.72,22,790,47.5080,37.3042,N/A
2017,1,2,12,30,76,1032,827,76,1032,827,0,2,43.31,0,0.157,1.8,0.894,287.6,27.71,22,790,48.7994,38.3281,N/A
2017,1,2,13,0,78,1029,828,78,1029,828,0,1,43.25,0,0.157,1.8,0.9,291.6,24.73,23,790,48.8664,38.3811,N/A
2017,1,2,13,30,77,1025,809,77,1025,809,0,1,44.410000000000004,0,0.157,1.7000000000000002,0.904,291.6,24.72,23,790,47.5913,37.3710,N/A
2017,1,2,14,0,77,1014,772,77,1014,772,0,1,46.7,0,0.157,1.6,0.909,294.3,23.57,23,790,45.1034,35.3996,N/A
2017,1,2,14,30,75,1000,718,75,1000,718,0,1,49.97,0,0.157,1.6,0.912,294.3,23.56,23,790,41.4837,32.5312,N/A
2017,1,2,15,0,72,978,647,72,978,647,0,0,54.03,0,0.157,1.6,0.916,297.8,22.61,23,790,36.7746,28.8005,N/A
2017,1,2,15,30,68,949,561,68,949,561,0,0,58.730000000000004,0,0.157,1.6,0.915,297.8,24.02,22,790,31.1530,24.3481,N/A
2017,1,2,16,0,63,907,462,63,907,462,0,0,63.910000000000004,0,0.157,1.6,0.915,303.2,23.650000000000002,22,790,24.8372,19.3492,N/A
2017,1,2,16,30,57,847,354,57,847,354,0,0,69.48,0,0.157,1.2000000000000002,0.906,303.2,26.73,20,790,18.2065,14.1080,N/A
2017,1,2,17,0,48,754,239,48,754,239,0,5,75.34,0,0.157,0.9,0.898,313.3,40.550000000000004,19,790,11.6529,8.9498,N/A
2017,1,2,17,30,36,597,125,36,597,125,0,5,81.44,1,0.157,1,0.883,313.3,48.99,16,790,0.0000,0.0000,N/A
2017,1,2,18,0,15,290,27,15,290,27,1,4,87.71000000000001,0,0.157,1.1,0.868,321.8,53.54,14,790,0.0000,0.0000,N/A
2017,1,2,18,30,0,0,0,0,0,0,1,4,94.13,0,0.157,1.1,0.849,321.8,57.15,13,790,0.0000,0.0000,N/A
2017,1,2,19,0,0,0,0,0,0,0,1,3,100.67,0,0.157,1.1,0.8310000000000001,331.40000000000003,54.300000000000004,13,790,0.0000,0.0000,N/A
2017,1,2,19,30,0,0,0,0,0,0,1,3,107.29,0,0.157,1.1,0.8150000000000001,331.40000000000003,57.97,12,790,0.0000,0.0000,N/A
2017,1,2,20,0,0,0,0,0,0,0,1,3,114,0,0.157,1.2000000000000002,0.799,345.90000000000003,56.02,12,790,0.0000,0.0000,N/A
2017,1,2,20,30,0,0,0,0,0,0,1,3,120.76,0,0.157,1.2000000000000002,0.792,345.90000000000003,56.03,12,790,0.0000,0.0000,N/A
2017,1,2,21,0,0,0,0,0,0,0,1,3,127.57000000000001,0,0.157,1.2000000000000002,0.786,3.6,54.15,12,790,0.0000,0.0000,N/A
2017,1,2,21,30,0,0,0,0,0,0,1,3,134.42000000000002,0,0.157,1.2000000000000002,0.787,3.6,57.85,11,790,0.0000,0.0000,N/A
2017,1,2,22,0,0,0,0,0,0,0,1,2,141.3,0,0.157,1.2000000000000002,0.789,25.3,56.6,11,790,0.0000,0.0000,N/A
2017,1,2,22,30,0,0,0,0,0,0,1,2,148.20000000000002,0,0.157,1.2000000000000002,0.792,25.3,60.480000000000004,10,790,0.0000,0.0000,N/A
2017,1,2,23,0,0,0,0,0,0,0,1,2,155.11,0,0.157,1.2000000000000002,0.796,43.900000000000006,59.95,10,790,0.0000,0.0000,N/A
2017,1,2,23,30,0,0,0,0,0,0,1,2,162.01,0,0.157,1.2000000000000002,0.8,43.900000000000006,64.1,9,790,0.0000,0.0000,N/A
2017,1,3,0,0,0,0,0,0,0,0,1,2,168.87,0,0.157,1.2000000000000002,0.804,56.7,64.22,9,790,0.0000,0.0000,N/A
2017,1,3,0,30,0,0,0,0,0,0,1,2,175.38,0,0.157,1.2000000000000002,0.807,56.7,68.7,8,790,0.0000,0.0000,N/A
2017,1,3,1,0,0,0,0,0,0,0,1,2,176.01,0,0.157,1.2000000000000002,0.811,63.2,69.49,8,790,0.0000,0.0000,N/A
2017,1,3,1,30,0,0,0,0,0,0,1,2,169.62,0,0.157,1.2000000000000002,0.8150000000000001,63.2,74.38,7,790,0.0000,0.0000,N/A
2017,1,3,2,0,0,0,0,0,0,0,1,3,162.78,0,0.157,1.2000000000000002,0.8190000000000001,65.5,75.88,7,790,0.0000,0.0000,N/A
2017,1,3,2,30,0,0,0,0,0,0,1,3,155.87,0,0.157,1.1,0.8210000000000001,65.5,75.87,7,790,0.0000,0.0000,N/A
2017,1,3,3,0,0,0,0,0,0,0,1,3,148.96,0,0.157,1.1,0.8230000000000001,69.2,78.48,7,790,0.0000,0.0000,N/A
2017,1,3,3,30,0,0,0,0,0,0,3,3,142.06,0,0.157,1,0.8220000000000001,69.2,84.06,6,790,0.0000,0.0000,N/A
2017,1,3,4,0,0,0,0,0,0,0,3,4,135.18,0,0.157,1,0.8220000000000001,75.8,87.71000000000001,6,790,0.0000,0.0000,N/A
2017,1,3,4,30,0,0,0,0,0,0,4,4,128.32,0,0.157,0.9,0.8180000000000001,75.8,87.72,6,790,0.0000,0.0000,N/A
2017,1,3,5,0,0,0,0,0,0,0,4,4,121.5,0,0.157,0.9,0.8150000000000001,81.60000000000001,91.05,6,790,0.0000,0.0000,N/A
2017,1,3,5,30,0,0,0,0,0,0,4,4,114.73,0,0.157,0.9,0.808,81.60000000000001,91.06,6,790,0.0000,0.0000,N/A
2017,1,3,6,0,0,0,0,0,0,0,1,5,108.02,0,0.157,0.9,0.801,88.4,93.62,6,790,0.0000,0.0000,N/A
2017,1,3,6,30,0,0,0,0,0,0,1,5,101.38,1,0.157,0.8,0.792,88.4,93.64,6,790,0.0000,0.0000,N/A
2017,1,3,7,0,0,0,0,0,0,0,3,5,94.83,0,0.157,0.8,0.784,93.30000000000001,95.5,6,790,0.0000,0.0000,N/A
2017,1,3,7,30,19,0,19,13,234,19,3,5,88.39,4,0.157,1,0.774,93.30000000000001,83.31,8,790,0.0000,0.0000,N/A
2017,1,3,8,0,34,579,114,34,579,114,3,5,82.10000000000001,4,0.157,1.3,0.765,89.30000000000001,70.60000000000001,11,790,0.0000,0.0000,N/A
2017,1,3,8,30,47,748,229,47,748,229,1,5,75.98,0,0.157,1.4000000000000001,0.758,89.30000000000001,61.92,13,790,11.1064,8.5201,N/A
2017,1,3,9,0,55,851,345,55,851,345,1,4,70.08,0,0.157,1.5,0.751,62.6,49.5,15,790,17.6492,13.6660,N/A
2017,1,3,9,30,62,913,456,62,913,456,1,4,64.47,0,0.157,1.6,0.748,62.6,43.59,17,790,24.4168,19.0135,N/A
2017,1,3,10,0,67,958,557,67,958,557,1,2,59.230000000000004,0,0.157,1.7000000000000002,0.745,41.1,32.76,19,790,30.8445,24.1007,N/A
2017,1,3,10,30,70,987,645,70,987,645,1,2,54.46,0,0.157,1.6,0.747,41.1,30.78,20,790,36.5905,28.6517,N/A
2017,1,3,11,0,74,1008,718,74,1008,718,1,1,50.31,0,0.157,1.5,0.749,17,27.42,22,790,41.4316,32.4872,N/A
2017,1,3,11,30,76,1022,774,76,1022,774,1,1,46.94,0,0.157,1.6,0.755,17,25.78,22,790,45.1857,35.4623,N/A
2017,1,3,12,0,77,1031,812,77,1031,812,1,1,44.52,0,0.157,1.7000000000000002,0.762,354.40000000000003,23.85,23,790,47.7528,37.4970,N/A
2017,1,3,12,30,78,1035,832,78,1035,832,1,1,43.230000000000004,0,0.157,1.8,0.769,354.40000000000003,23.84,23,790,49.1051,38.5687,N/A
2017,1,3,13,0,79,1034,833,79,1034,833,1,0,43.15,0,0.157,2,0.777,345.6,21.97,24,790,49.1748,38.6240,N/A
2017,1,3,13,30,78,1030,815,78,1030,815,1,0,44.29,0,0.157,2.1,0.782,345.6,21.96,24,790,47.9607,37.6620,N/A
2017,1,3,14,0,77,1020,779,77,1020,779,1,0,46.57,0,0.157,2.2,0.788,347.1,21.29,24,790,45.5310,35.7363,N/A
2017,1,3,14,30,252,528,593,75,1006,724,3,0,49.83,0,0.157,2.2,0.786,347.1,21.28,24,790,34.2791,26.8825,N/A
2017,1,3,15,0,72,986,654,72,986,654,1,0,53.89,0,0.157,2.3000000000000003,0.785,353.5,20.46,24,790,37.1954,29.1315,N/A
2017,1,3,15,30,68,958,568,68,958,568,1,0,58.58,0,0.157,2.3000000000000003,0.777,353.5,21.73,23,790,31.5677,24.6741,N/A
2017,1,3,16,0,63,920,470,63,920,470,1,0,63.77,0,0.157,2.3000000000000003,0.769,1.8,21.34,23,790,25.2921,19.7057,N/A
2017,1,3,16,30,56,862,361,56,862,361,3,0,69.34,4,0.157,1.7000000000000002,0.758,1.8,24.1,21,790,18.5895,14.4071,N/A
2017,1,3,17,0,47,776,246,47,776,246,4,5,75.2,4,0.157,1.2000000000000002,0.747,13.3,37.53,20,790,12.0086,9.2253,N/A
2017,1,3,17,30,35,623,130,35,623,130,4,5,81.3,1,0.157,1.2000000000000002,0.734,13.3,45.26,17,790,0.0000,0.0000,N/A
